# Motion State
# Angle Units : degrees
# Time        	centreOfRotation	centreOfMass	rotation	velocity	omega
0.067         	(0.000000e+00 3.251947e-01 0.000000e+00)	(0.000000e+00 3.251947e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.563457e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.068         	(0.000000e+00 3.297517e-01 0.000000e+00)	(0.000000e+00 3.297517e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.550528e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.069         	(0.000000e+00 3.342958e-01 0.000000e+00)	(0.000000e+00 3.342958e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.537421e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.07          	(0.000000e+00 3.388266e-01 0.000000e+00)	(0.000000e+00 3.388266e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.524134e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.071         	(0.000000e+00 3.433440e-01 0.000000e+00)	(0.000000e+00 3.433440e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.510668e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.072         	(0.000000e+00 3.478479e-01 0.000000e+00)	(0.000000e+00 3.478479e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.497025e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.073         	(0.000000e+00 3.523381e-01 0.000000e+00)	(0.000000e+00 3.523381e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.483204e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.074         	(0.000000e+00 3.568143e-01 0.000000e+00)	(0.000000e+00 3.568143e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.469205e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.075         	(0.000000e+00 3.612765e-01 0.000000e+00)	(0.000000e+00 3.612765e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.455031e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.076         	(0.000000e+00 3.657244e-01 0.000000e+00)	(0.000000e+00 3.657244e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.440680e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.077         	(0.000000e+00 3.701579e-01 0.000000e+00)	(0.000000e+00 3.701579e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.426155e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.078         	(0.000000e+00 3.745767e-01 0.000000e+00)	(0.000000e+00 3.745767e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.411454e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.079         	(0.000000e+00 3.789808e-01 0.000000e+00)	(0.000000e+00 3.789808e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.396580e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.08          	(0.000000e+00 3.833699e-01 0.000000e+00)	(0.000000e+00 3.833699e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.381531e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.081         	(0.000000e+00 3.877438e-01 0.000000e+00)	(0.000000e+00 3.877438e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.366310e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.082         	(0.000000e+00 3.921025e-01 0.000000e+00)	(0.000000e+00 3.921025e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.350917e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.083         	(0.000000e+00 3.964457e-01 0.000000e+00)	(0.000000e+00 3.964457e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.335351e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.084         	(0.000000e+00 4.007732e-01 0.000000e+00)	(0.000000e+00 4.007732e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.319615e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.085         	(0.000000e+00 4.050849e-01 0.000000e+00)	(0.000000e+00 4.050849e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.303708e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.086         	(0.000000e+00 4.093806e-01 0.000000e+00)	(0.000000e+00 4.093806e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.287631e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.087         	(0.000000e+00 4.136602e-01 0.000000e+00)	(0.000000e+00 4.136602e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.271385e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.088         	(0.000000e+00 4.179234e-01 0.000000e+00)	(0.000000e+00 4.179234e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.254970e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.089         	(0.000000e+00 4.221701e-01 0.000000e+00)	(0.000000e+00 4.221701e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.238387e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.09          	(0.000000e+00 4.264001e-01 0.000000e+00)	(0.000000e+00 4.264001e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.221637e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.091         	(0.000000e+00 4.306134e-01 0.000000e+00)	(0.000000e+00 4.306134e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.204720e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.092         	(0.000000e+00 4.348096e-01 0.000000e+00)	(0.000000e+00 4.348096e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.187638e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.093         	(0.000000e+00 4.389886e-01 0.000000e+00)	(0.000000e+00 4.389886e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.170390e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.094         	(0.000000e+00 4.431504e-01 0.000000e+00)	(0.000000e+00 4.431504e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.152977e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.095         	(0.000000e+00 4.472946e-01 0.000000e+00)	(0.000000e+00 4.472946e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.135400e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.096         	(0.000000e+00 4.514212e-01 0.000000e+00)	(0.000000e+00 4.514212e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.117660e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.097         	(0.000000e+00 4.555299e-01 0.000000e+00)	(0.000000e+00 4.555299e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.099758e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.098         	(0.000000e+00 4.596207e-01 0.000000e+00)	(0.000000e+00 4.596207e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.081693e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.099         	(0.000000e+00 4.636933e-01 0.000000e+00)	(0.000000e+00 4.636933e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.063468e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
