# Motion State
# Angle Units : degrees
# Time        	centreOfRotation	centreOfMass	rotation	velocity	omega
0.064         	(0.000000e+00 3.118321e-01 0.000000e+00)	(0.000000e+00 3.118321e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.613054e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.065         	(0.000000e+00 3.164391e-01 0.000000e+00)	(0.000000e+00 3.164391e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.600834e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.066         	(0.000000e+00 3.210337e-01 0.000000e+00)	(0.000000e+00 3.210337e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.588433e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.067         	(0.000000e+00 3.256158e-01 0.000000e+00)	(0.000000e+00 3.256158e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.575849e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.068         	(0.000000e+00 3.301853e-01 0.000000e+00)	(0.000000e+00 3.301853e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.563085e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.069         	(0.000000e+00 3.347419e-01 0.000000e+00)	(0.000000e+00 3.347419e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.550140e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.07          	(0.000000e+00 3.392855e-01 0.000000e+00)	(0.000000e+00 3.392855e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.537015e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.071         	(0.000000e+00 3.438159e-01 0.000000e+00)	(0.000000e+00 3.438159e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.523710e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.072         	(0.000000e+00 3.483328e-01 0.000000e+00)	(0.000000e+00 3.483328e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.510226e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.073         	(0.000000e+00 3.528362e-01 0.000000e+00)	(0.000000e+00 3.528362e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.496564e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
